Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
ITGA8	0	0	1	0	0	0	0	1	1	1
ITGAL	0	0	1	0	0	0	0	1	1	1
ITIH6	0	0	1	0	0	0	0	1	1	1
ITSN1	0	0	1	0	0	0	0	1	1	1
JAGN1	0	0	1	0	0	0	0	1	1	1
KIAA1024	0	0	1	0	0	0	0	1	1	1
KIAA1109	0	0	1	0	0	0	0	1	1	1
KIAA1549L	0	0	1	0	0	0	0	1	1	1
KIAA2026	0	0	1	0	0	0	0	1	1	1
KIF16B	0	0	1	0	0	0	0	1	1	1
KIF4B	0	0	1	0	0	0	0	1	1	1
KIR3DL1	0	0	1	0	0	0	0	1	1	1
KMT2A	0	0	1	0	0	0	0	1	1	1
KMT2C	0	0	0	1	0	0	0	1	1	1
KRT34	0	0	1	0	0	0	0	1	1	1
KRT38	0	0	0	1	0	0	0	1	1	1
LAT2	0	0	1	0	0	0	0	1	1	1
LCT	0	0	1	0	0	0	0	1	1	1
LEKR1	0	0	1	0	0	0	0	1	1	1
LHX4	0	0	1	0	0	0	0	1	1	1
LILRA3	0	0	1	0	0	0	0	1	1	1
LILRB3	0	0	1	0	0	0	0	1	1	1
LIN9	0	0	1	0	0	0	0	1	1	1
LRP1B	0	0	1	0	0	0	0	1	1	1
LRP4	0	0	1	0	0	0	0	1	1	1
LRP6	0	0	1	0	0	0	0	1	1	1
LRRC55	0	0	1	0	0	0	0	1	1	1
LTF	0	0	0	1	0	0	0	1	1	1
MACF1	0	0	1	0	0	0	0	1	1	1
MALRD1	0	0	1	0	0	0	0	1	1	1
MED1	0	0	1	0	0	0	0	1	1	1
MED18	1	0	0	0	0	0	0	1	1	1
MEGF10	0	0	1	0	0	0	0	1	1	1
MIS18BP1	1	0	0	0	0	0	0	1	1	1
MSANTD4	0	0	1	0	0	0	0	1	1	1
MST1R	0	0	1	0	0	0	0	1	1	1
MSTO1	0	0	1	0	0	0	0	1	1	1
MT1M	0	0	1	0	0	0	0	1	1	1
MVB12A	0	0	0	0	0	1	0	1	1	1
MYBPC1	0	0	1	0	0	0	0	1	1	1
MYCBP2	1	0	0	0	0	0	0	1	1	1
MYO3B	0	0	1	0	0	0	0	1	1	1
MYO5C	0	0	0	1	0	0	0	1	1	1
MYO9A	0	0	1	0	0	0	0	1	1	1
MYOM1	0	0	1	0	0	0	0	1	1	1
MYRIP	0	0	1	0	0	0	0	1	1	1
MZF1	0	0	1	0	0	0	0	1	1	1
NBPF10	0	0	1	0	0	0	0	1	1	1
NDUFS1	1	0	0	0	0	0	0	1	1	1
NDUFV2	0	0	1	0	0	0	0	1	1	1
NFE2L3	0	0	0	1	0	0	0	1	1	1
NHS	0	0	1	0	0	0	0	1	1	1
NID2	0	0	1	0	0	0	0	1	1	1
NLRC4	0	0	1	0	0	0	0	1	1	1
NOTCH2NL	0	0	1	0	0	0	0	1	1	1
NPIPB15	0	0	1	0	0	0	0	1	1	1
NPY5R	0	0	1	0	0	0	0	1	1	1
NR4A1	0	0	1	0	0	0	0	1	1	1
NRP1	0	0	1	0	0	0	0	1	1	1
NUAK2	0	0	1	0	0	0	0	1	1	1
NUP98	0	0	1	0	0	0	0	1	1	1
NXF2	0	0	1	0	0	0	0	1	1	1
NXF5	0	0	1	0	0	0	0	1	1	1
NYNRIN	0	0	1	0	0	0	0	1	1	1
OBP2B	0	0	1	0	0	0	0	1	1	1
OR10X1	0	0	1	0	0	0	0	1	1	1
OR2M5	0	0	1	0	0	0	0	1	1	1
OR2T35	0	0	1	0	0	0	0	1	1	1
OR2T4	0	0	1	0	0	0	0	1	1	1
OR4C3	0	0	1	0	0	0	0	1	1	1
OR52K2	0	0	1	0	0	0	0	1	1	1
OR52N5	0	0	1	0	0	0	0	1	1	1
OR5AR1	0	0	1	0	0	0	0	1	1	1
OR5D18	0	0	1	0	0	0	0	1	1	1
OR5M10	0	0	1	0	0	0	0	1	1	1
OR9K2	0	0	1	0	0	0	0	1	1	1
PABPC4	0	0	1	0	0	0	0	1	1	1
PAPSS2	0	0	1	0	0	0	0	1	1	1
PARP16	0	0	1	0	0	0	0	1	1	1
PCDHB8	0	0	1	0	0	0	0	1	1	1
PCDHGA6	0	0	1	0	0	0	0	1	1	1
PCOLCE	0	0	1	0	0	0	0	1	1	1
PDE1C	0	0	1	0	0	0	0	1	1	1
PDE6A	0	0	0	0	0	1	0	1	1	1
PER2	0	0	1	0	0	0	0	1	1	1
PHACTR4	0	1	0	0	0	0	0	1	1	1
PKHD1	0	1	0	0	0	0	0	1	1	1
PKP2	0	0	1	0	0	0	0	1	1	1
PLAG1	0	0	1	0	0	0	0	1	1	1
PLEKHA3	0	0	1	0	0	0	0	1	1	1
PLXNA3	0	0	1	0	0	0	0	1	1	1
PNMAL1	0	0	1	0	0	0	0	1	1	1
PNN	0	0	1	0	0	0	0	1	1	1
POTED	0	0	1	0	0	0	0	1	1	1
PP2D1	0	0	0	1	0	0	0	1	1	1
PPP5C	0	0	1	0	0	0	0	1	1	1
PRAMEF20	0	0	1	0	0	0	0	1	1	1
PREX2	0	0	1	0	0	0	0	1	1	1
PRICKLE1	0	0	1	0	0	0	0	1	1	1
PRKCE	0	0	1	0	0	0	0	1	1	1
PRMT1	0	0	1	0	0	0	0	1	1	1
PSAPL1	1	0	0	0	0	0	0	1	1	1
PTPRM	0	0	1	0	0	0	0	1	1	1
PVRIG	0	0	1	0	0	0	0	1	1	1
PYROXD1	0	0	1	0	0	0	0	1	1	1
PZP	0	0	1	0	0	0	0	1	1	1
QSOX1	0	0	1	0	0	0	0	1	1	1
RAG1	0	0	1	0	0	0	0	1	1	1
RBM27	0	0	1	0	0	0	0	1	1	1
REG3A	0	0	1	0	0	0	0	1	1	1
RETSAT	0	0	1	0	0	0	0	1	1	1
RFC4	0	0	1	0	0	0	0	1	1	1
RGS6	1	0	0	0	0	0	0	1	1	1
RIN2	0	0	1	0	0	0	0	1	1	1
RNF113B	0	0	1	0	0	0	0	1	1	1
RPS29	0	0	0	0	0	0	1	1	1	1
RSPH4A	0	0	1	0	0	0	0	1	1	1
RUNX1T1	0	0	0	0	0	0	1	1	1	1
SCAF4	0	0	0	1	0	0	0	1	1	1
SCN1A	0	0	1	0	0	0	0	1	1	1
SEMG2	0	0	1	0	0	0	0	1	1	1
SEPT11	0	0	1	0	0	0	0	1	1	1
SH3RF2	0	0	1	0	0	0	0	1	1	1
SLC15A4	0	0	1	0	0	0	0	1	1	1
SLC22A15	0	0	1	0	0	0	0	1	1	1
SLC25A40	0	0	1	0	0	0	0	1	1	1
SLFN5	0	0	1	0	0	0	0	1	1	1
SMARCC2	0	0	1	0	0	0	0	1	1	1
SMEK2	0	0	0	1	0	0	0	1	1	1
SNAPC4	0	0	1	0	0	0	0	1	1	1
SOCS5	0	0	1	0	0	0	0	1	1	1
SOX6	0	0	1	0	0	0	0	1	1	1
SPANXN2	0	0	1	0	0	0	0	1	1	1
SPANXN5	0	0	1	0	0	0	0	1	1	1
SPRED1	0	0	1	0	0	0	0	1	1	1
SSH2	0	0	0	1	0	0	0	1	1	1
SYNC	0	0	1	0	0	0	0	1	1	1
SYNE2	0	0	0	0	0	1	0	1	1	1
SYNGAP1	0	0	1	0	0	0	0	1	1	1
SYT15	0	0	1	0	0	0	0	1	1	1
SYT4	0	0	1	0	0	0	0	1	1	1
SYTL1	0	0	0	1	0	0	0	1	1	1
TAGAP	0	0	1	0	0	0	0	1	1	1
TBC1D26	0	0	1	0	0	0	0	1	1	1
TCEAL5	0	0	1	0	0	0	0	1	1	1
TEP1	0	0	0	1	0	0	0	1	1	1
TEX15	0	0	1	0	0	0	0	1	1	1
TFDP3	0	0	1	0	0	0	0	1	1	1
THYN1	0	0	1	0	0	0	0	1	1	1
TIE1	0	0	1	0	0	0	0	1	1	1
TLN1	0	0	1	0	0	0	0	1	1	1
TM9SF1	0	0	1	0	0	0	0	1	1	1
TMEM171	0	0	1	0	0	0	0	1	1	1
TMEM231	0	0	0	0	1	0	0	1	1	1
TMEM97	0	1	0	0	0	0	0	1	1	1
TNFAIP8L3	0	0	0	1	0	0	0	1	1	1
TNFSF11	0	0	1	0	0	0	0	1	1	1
TOMM34	1	0	0	0	0	0	0	1	1	1
TOP3B	0	0	1	0	0	0	0	1	1	1
TPSD1	0	0	1	0	0	0	0	1	1	1
TRAK2	0	0	1	0	0	0	0	1	1	1
TRAPPC10	0	0	1	0	0	0	0	1	1	1
TRAV20	0	0	1	0	0	0	0	1	1	1
TRAV24	0	0	1	0	0	0	0	1	1	1
TRBV5-7	0	0	1	0	0	0	0	1	1	1
TRGV2	0	0	1	0	0	0	0	1	1	1
TRHR	0	0	0	1	0	0	0	1	1	1
TRIM77	0	1	0	0	0	0	0	1	1	1
TRMT44	0	0	1	0	0	0	0	1	1	1
TSHR	0	0	1	0	0	0	0	1	1	1
TTC3	0	1	0	0	0	0	0	1	1	1
TTC30A	0	1	0	0	0	0	0	1	1	1
TTLL7	0	0	1	0	0	0	0	1	1	1
TUBB8	0	0	1	0	0	0	0	1	1	1
TUBGCP2	0	1	0	0	0	0	0	1	1	1
TXLNG	1	0	0	0	0	0	0	1	1	1
UBC	0	0	1	0	0	0	0	1	1	1
UBR3	0	0	1	0	0	0	0	1	1	1
UGT2B11	0	0	1	0	0	0	0	1	1	1
UNC45B	0	0	1	0	0	0	0	1	1	1
USP12	0	0	1	0	0	0	0	1	1	1
USP40	0	1	0	0	0	0	0	1	1	1
VCX3B	0	0	1	0	0	0	0	1	1	1
VPS53	0	0	1	0	0	0	0	1	1	1
VPS54	1	0	0	0	0	0	0	1	1	1
VWA3A	0	0	1	0	0	0	0	1	1	1
VWF	0	0	1	0	0	0	0	1	1	1
WDR33	0	0	1	0	0	0	0	1	1	1
WDR46	0	0	1	0	0	0	0	1	1	1
WDR87	0	0	1	0	0	0	0	1	1	1
XIRP2	0	0	1	0	0	0	0	1	1	1
ZBTB26	0	0	1	0	0	0	0	1	1	1
ZKSCAN2	0	0	1	0	0	0	0	1	1	1
ZNF10	0	0	1	0	0	0	0	1	1	1
ZNF195	0	0	1	0	0	0	0	1	1	1
ZNF208	0	0	1	0	0	0	0	1	1	1
ZNF300	0	0	1	0	0	0	0	1	1	1
ZNF443	0	0	1	0	0	0	0	1	1	1
ZNF460	0	0	1	0	0	0	0	1	1	1
ZNF493	0	0	1	0	0	0	0	1	1	1
ZNF527	0	0	1	0	0	0	0	1	1	1
ZNF555	0	1	0	0	0	0	0	1	1	1
ZNF600	0	0	1	0	0	0	0	1	1	1
ZNF687	0	0	1	0	0	0	0	1	1	1
ZNF701	0	0	1	0	0	0	0	1	1	1
ZNF746	0	0	1	0	0	0	0	1	1	1
ZNF75A	0	0	1	0	0	0	0	1	1	1
ZNF777	1	0	0	0	0	0	0	1	1	1
ZNF778	0	0	1	0	0	0	0	1	1	1
ZNF799	0	1	0	0	0	0	0	1	1	1
