Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
MGAT4B	0	0	1	0	0	1	1	1
MKNK2	0	0	1	0	0	1	1	1
MND1	0	0	1	0	0	1	1	1
MORC1	0	1	0	0	0	1	1	1
MYO9A	1	0	0	0	0	1	1	1
NBEAL1	0	1	0	0	0	1	1	1
NEDD1	0	0	1	0	0	1	1	1
NRXN2	0	1	0	0	0	1	1	1
NUTM2F	0	0	1	0	0	1	1	1
ODF2L	0	1	0	0	0	1	1	1
PABPC1	0	0	1	0	0	1	1	1
PDS5B	0	0	1	0	0	1	1	1
PEX1	1	0	0	0	0	1	1	1
PLCH1	0	0	1	0	0	1	1	1
PLXNA4	0	0	1	0	0	1	1	1
PRB4	0	0	1	0	0	1	1	1
PRDM2	0	0	1	0	0	1	1	1
PROM1	1	0	0	0	0	1	1	1
PRRG1	1	0	0	0	0	1	1	1
PRRT2	1	0	0	0	0	1	1	1
PSG5	0	0	1	0	0	1	1	1
RAB1A	0	0	1	0	0	1	1	1
RBMX	0	1	0	0	0	1	1	1
RCVRN	0	0	1	0	0	1	1	1
RFPL1	0	0	1	0	0	1	1	1
RGL2	0	1	0	0	0	1	1	1
RHPN2	0	0	0	1	0	1	1	1
RIC8B	0	0	1	0	0	1	1	1
RP11-830F9.6	0	1	0	0	0	1	1	1
RP11-863K10.7	1	0	0	0	0	1	1	1
RPS15	0	0	1	0	0	1	1	1
SAP25	0	0	1	0	0	1	1	1
SEC31A	0	1	0	0	0	1	1	1
SHMT2	0	0	1	0	0	1	1	1
SIAE	0	0	1	0	0	1	1	1
SIGLEC10	0	0	1	0	0	1	1	1
SLAMF7	0	0	1	0	0	1	1	1
SLC22A10	0	0	1	0	0	1	1	1
SLC4A10	0	0	1	0	0	1	1	1
SLC4A4	0	0	1	0	0	1	1	1
SLC5A5	0	0	1	0	0	1	1	1
SMPD4	0	0	1	0	0	1	1	1
SYCP1	0	1	0	0	0	1	1	1
SYCP2L	0	0	1	0	0	1	1	1
TBC1D19	0	0	1	0	0	1	1	1
TBC1D8	0	0	1	0	0	1	1	1
TCF20	0	0	0	1	0	1	1	1
TET2	0	1	0	0	0	1	1	1
TGFBR2	1	0	0	0	0	1	1	1
TLR9	0	0	1	0	0	1	1	1
TMEM232	0	0	1	0	0	1	1	1
TOPAZ1	1	0	0	0	0	1	1	1
TRBV23-1	0	0	1	0	0	1	1	1
TRIM77	0	1	0	0	0	1	1	1
TXLNG	1	0	0	0	0	1	1	1
USP6	0	0	1	0	0	1	1	1
USPL1	0	0	1	0	0	1	1	1
WASF2	0	0	1	0	0	1	1	1
WBP1	1	0	0	0	0	1	1	1
ZAN	0	0	1	0	0	1	1	1
ZC3H13	1	0	0	0	0	1	1	1
ZCCHC2	0	0	1	0	0	1	1	1
ZDHHC11	0	0	1	0	0	1	1	1
ZNF292	0	0	1	0	0	1	1	1
ZNF30	1	0	0	0	0	1	1	1
ZNF304	0	0	1	0	0	1	1	1
ZNF608	0	0	1	0	0	1	1	1
ZNF644	0	1	0	0	0	1	1	1
ZNF669	0	0	1	0	0	1	1	1
ZNF700	0	0	1	0	0	1	1	1
ZNF808	0	0	1	0	0	1	1	1
ZNF844	0	0	1	0	0	1	1	1
