Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
KRTAP4-11	0	0	1	0	0	1	1	1
KRTAP4-7	0	0	1	0	0	1	1	1
LILRA4	0	0	1	0	0	1	1	1
LRPPRC	0	0	1	0	0	1	1	1
LTN1	1	0	0	0	0	1	1	1
MARK3	0	0	1	0	0	1	1	1
MCF2L	0	0	1	0	0	1	1	1
MKNK2	0	0	1	0	0	1	1	1
MND1	0	0	1	0	0	1	1	1
MUC4	0	0	1	0	0	1	1	1
NDUFV2	0	0	1	0	0	1	1	1
NEDD1	0	0	1	0	0	1	1	1
NPIPB15	0	0	1	0	0	1	1	1
OR4D11	0	0	1	0	0	1	1	1
OR52B6	0	0	1	0	0	1	1	1
PARP10	0	0	1	0	0	1	1	1
PCMTD1	0	0	1	0	0	1	1	1
PLCH1	0	0	1	0	0	1	1	1
PLXNA4	0	0	1	0	0	1	1	1
POU5F1B	0	0	1	0	0	1	1	1
PRG4	0	0	1	0	0	1	1	1
PRRC2C	1	0	0	0	0	1	1	1
RAB1A	0	0	1	0	0	1	1	1
RBM26	0	1	0	0	0	1	1	1
RBMX	0	0	1	0	0	1	1	1
RCVRN	0	0	1	0	0	1	1	1
RHPN2	0	0	0	1	0	1	1	1
RIC8B	0	0	1	0	0	1	1	1
SEC62	0	1	0	0	0	1	1	1
SHMT2	0	0	1	0	0	1	1	1
SIAE	0	0	1	0	0	1	1	1
SIGLEC10	0	0	1	0	0	1	1	1
SLAMF7	0	0	1	0	0	1	1	1
SLC22A10	0	0	1	0	0	1	1	1
SLC25A32	0	0	1	0	0	1	1	1
SLC4A10	0	0	1	0	0	1	1	1
SLC4A4	0	0	1	0	0	1	1	1
SLC5A5	0	0	1	0	0	1	1	1
TCF20	0	0	0	1	0	1	1	1
TDG	0	1	0	0	0	1	1	1
TET2	0	1	0	0	0	1	1	1
TLR9	0	0	1	0	0	1	1	1
TMEM232	0	0	1	0	0	1	1	1
TNXB	0	0	1	0	0	1	1	1
TPTE2	0	0	1	0	0	1	1	1
TRBV23-1	0	0	1	0	0	1	1	1
TRIM77	0	1	0	0	0	1	1	1
TTC30B	0	0	1	0	0	1	1	1
TTK	0	0	1	0	0	1	1	1
USP6	0	0	1	0	0	1	1	1
USPL1	0	0	1	0	0	1	1	1
WASF2	0	0	1	0	0	1	1	1
WNK4	0	0	1	0	0	1	1	1
ZAN	0	0	1	0	0	1	1	1
ZCCHC2	0	0	1	0	0	1	1	1
ZNF285	0	0	0	1	0	1	1	1
ZNF292	0	0	1	0	0	1	1	1
ZNF30	1	0	0	0	0	1	1	1
ZNF608	0	0	1	0	0	1	1	1
ZNF626	0	0	1	0	0	1	1	1
ZNF808	0	0	1	0	0	1	1	1
